,Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
0,1,Finland,7.809,1.285,1.5,0.961,0.662,0.16,0.478,Europe
1,2,Denmark,7.646,1.327,1.503,0.979,0.665,0.243,0.495,Europe
2,3,Switzerland,7.56,1.391,1.472,1.041,0.629,0.269,0.408,Europe
3,4,Iceland,7.504,1.327,1.548,1.001,0.662,0.362,0.145,Europe
4,5,Norway,7.488,1.424,1.495,1.008,0.67,0.288,0.434,Europe
5,6,Netherlands,7.449,1.339,1.464,0.976,0.614,0.336,0.369,Europe
6,7,Sweden,7.353,1.322,1.433,0.986,0.65,0.273,0.442,Europe
7,8,New Zealand,7.3,1.242,1.487,1.008,0.647,0.326,0.461,Oceania
8,9,Austria,7.294,1.317,1.437,1.001,0.603,0.256,0.281,Europe
9,10,Luxembourg,7.238,1.537,1.388,0.986,0.61,0.196,0.367,Europe
10,11,Canada,7.232,1.302,1.435,1.023,0.644,0.282,0.352,North America
11,12,Australia,7.223,1.31,1.477,1.023,0.622,0.325,0.336,Oceania
12,14,Israel,7.129,1.216,1.403,1.008,0.421,0.267,0.1,Asia
13,15,Costa Rica,7.121,0.981,1.375,0.94,0.645,0.131,0.096,North America
14,16,Ireland,7.094,1.447,1.471,0.976,0.588,0.295,0.373,Europe
15,17,Germany,7.076,1.314,1.369,0.972,0.564,0.252,0.309,Europe
16,20,Belgium,6.864,1.296,1.399,0.965,0.5,0.147,0.209,Europe
17,21,United Arab Emirates,6.791,1.431,1.251,0.788,0.653,0.281,0.22,Asia
18,22,Malta,6.773,1.253,1.443,0.972,0.633,0.341,0.179,Europe
19,23,France,6.664,1.268,1.459,1.03,0.514,0.113,0.227,Europe
20,24,Mexico,6.465,1.024,1.226,0.832,0.554,0.083,0.083,North America
21,26,Uruguay,6.44,1.071,1.425,0.857,0.594,0.132,0.193,South America
22,27,Saudi Arabia,6.406,1.334,1.31,0.76,0.548,0.087,0.163,Asia
23,28,Spain,6.401,1.231,1.421,1.051,0.426,0.165,0.11,Europe
24,29,Guatemala,6.399,0.754,1.174,0.706,0.613,0.171,0.098,North America
25,30,Italy,6.387,1.236,1.347,1.023,0.321,0.17,0.04,Europe
26,31,Singapore,6.377,1.52,1.395,1.138,0.635,0.219,0.533,Asia
27,32,Brazil,6.376,0.953,1.363,0.766,0.483,0.132,0.107,South America
28,33,Slovenia,6.363,1.209,1.465,0.933,0.647,0.146,0.077,Europe
29,34,El Salvador,6.348,0.749,1.149,0.753,0.524,0.119,0.117,North America
30,36,Panama,6.305,1.098,1.376,0.879,0.58,0.097,0.054,North America
31,37,Slovakia,6.281,1.195,1.424,0.853,0.424,0.117,0.011,Europe
32,38,Uzbekistan,6.258,0.697,1.434,0.717,0.693,0.363,0.28,Asia
33,39,Chile,6.228,1.097,1.323,0.889,0.417,0.156,0.063,South America
34,40,Bahrain,6.227,1.297,1.315,0.839,0.61,0.287,0.127,Asia
35,41,Lithuania,6.215,1.194,1.433,0.795,0.42,0.054,0.081,Europe
36,42,Trinidad and Tobago,6.192,1.168,1.407,0.659,0.553,0.199,0.015,North America
37,43,Poland,6.186,1.169,1.31,0.868,0.558,0.063,0.161,Europe
38,44,Colombia,6.163,0.932,1.334,0.81,0.527,0.092,0.046,South America
